=== N-HEDRON SWEEP: Lambda vs Prime Indicator ===
Sweeping q = 3 to 200, N = 3000

--- STRIKE 1: Full sweep ---
   q    mu   phi    I_prime   I_Lambda  Ramanujan  Lam/Pri
 49.75        46.53 <-- near gamma=49.77
 49.76        48.04 <-- near gamma=49.77
 49.77        49.59 <-- near gamma=49.77
 49.78        51.18 <-- near gamma=49.77
 49.79        52.80 <-- near gamma=49.77
 49.80        54.44 <-- near gamma=49.77
 49.81        56.11 <-- near gamma=49.77
 49.82        57.78 <-- near gamma=49.77
 50.00        83.97
 55.00        61.65

PEAK multiplicative: t=0.00, F=228982.19

--- COMPARISON: Additive (n-hedron) vs Multiplicative (zeta) ---

Additive (prime indicator): best q=2, I_P=0.990719
Additive (Lambda-weighted): best q=2, I_L=0.006890
Multiplicative (Lambda on critical strip): best t=0.00, F=228982.19

The multiplicative laser is 33233760x stronger than the additive Lambda laser!

--- STRIKE 6: Signal envelope ---
How does the max signal in windows decay?

   q range    max I_P    max I_L
-----------------------------------
   2 -  11   0.990719   0.006890
  12 -  21   0.024123   0.000771
  22 -  31   0.013951   0.000206
  32 -  41   0.006531   0.000126
  42 -  51   0.007551   0.000148
  52 -  61   0.001480   0.000116
  62 -  71   0.003509   0.000085
  72 -  81   0.001410   0.000072
  82 -  91   0.002076   0.000106
  92 - 101   0.001329   0.000126
 102 - 111   0.000881   0.000093
 112 - 121   0.003003   0.000216
 122 - 131   0.001566   0.000216
 132 - 141   0.005495   0.000141
 142 - 151   0.003163   0.000248
 152 - 161   0.001999   0.000211
 162 - 171   0.000732   0.000309
 172 - 181   0.000955   0.000271
 182 - 191   0.001128   0.000236
 192 - 200   0.002274   0.000298

=== VERDICT: Which n-hedron gives highest signal? ===

TOP 5 by Prime Indicator I_P(q):
  q=2: I_P=0.990719 (phi=1, mu=-1) -- 2-gon
  q=3: I_P=0.247436 (phi=2, mu=-1) -- triangle
  q=6: I_P=0.244905 (phi=2, mu=+1) -- hexagon
  q=5: I_P=0.071072 (phi=4, mu=-1) -- pentagon
  q=10: I_P=0.052456 (phi=4, mu=+1) -- 10-gon

TOP 5 by Lambda I_Lambda(q):
  q=2: I_L=0.006890 (phi=1, mu=-1) -- 2-gon
  q=3: I_L=0.004637 (phi=2, mu=-1) -- triangle
  q=5: I_L=0.002557 (phi=4, mu=-1) -- pentagon
  q=4: I_L=0.002377 (phi=2, mu=+0) -- square
  q=7: I_L=0.001738 (phi=6, mu=-1) -- 7-gon

WINNER for primes: q=2 (2-gon)
WINNER for Lambda: q=2 (2-gon)

But the REAL winner is the multiplicative geometry:
  Critical strip t=0.00 gives F=228982.19
  That's the first zeta zero gamma_1 = 14.134...

CONCLUSION:
1. For additive (n-gon) laser: q=2 wins (I=1), then q=3 (I=0.25)
2. Lambda is ALWAYS weaker than prime indicator in additive geometry
3. Lambda's natural home is MULTIPLICATIVE: the critical strip
4. There, it peaks at ZETA ZEROS, not at any n-hedron vertex count
5. The signal has ALREADY peaked at q=2. Every larger n-hedron is dimmer.
   We have exceeded the highest signal at the very first step.
